flow,measure,archetype,direction,coef,se,ci_lo,ci_hi,p
Adoption,Log wage,Physical-sensory,Upward gap slope,-0.278998263407342,0.0546646567895389,-0.386140990714838,-0.171855536099845,3.32874725737516e-07
Adoption,Log wage,General SC,Upward gap slope,0.190263506459338,0.0441607894933454,0.103708359052381,0.276818653866295,1.64420252719363e-05
Adoption,Log wage,Specialized SC,Upward gap slope,0.199766779521236,0.0485497720098011,0.104609226382026,0.294924332660446,3.87716782258706e-05
Adoption,Log wage,Physical-sensory,Downward gap slope,-0.0734546677609423,0.0464381432490586,-0.164473428529097,0.0175640930072126,0.11370107333968
Adoption,Log wage,General SC,Downward gap slope,0.00741928116354283,0.0508828403819131,-0.0923110859850068,0.107149648312092,0.884070540391676
Adoption,Log wage,Specialized SC,Downward gap slope,0.0641413053290575,0.0527377982694713,-0.0392247792791062,0.167507389937221,0.22389722514296
Adoption,Log education,Physical-sensory,Upward gap slope,-0.343307814465962,0.0657290826480068,-0.472136816456055,-0.214478812475869,1.75977719594071e-07
Adoption,Log education,General SC,Upward gap slope,0.253537863513354,0.0474437118207469,0.16054818834469,0.346527538682018,9.0931663170052e-08
Adoption,Log education,Specialized SC,Upward gap slope,0.329650059468067,0.0586922001644649,0.214613347145716,0.444686771790419,1.94762153621126e-08
Adoption,Log education,Physical-sensory,Downward gap slope,-0.122214178055287,0.0611275997544981,-0.242024273574104,-0.00240408253647112,0.045572776958839
Adoption,Log education,General SC,Downward gap slope,0.143931240553823,0.0605442585218441,0.0252644938510087,0.262597987256638,0.0174403859715452
Adoption,Log education,Specialized SC,Downward gap slope,0.274446677985535,0.070306144662595,0.136646634446849,0.412246721524222,9.4774529581328e-05
Adoption,Cognitive score,Physical-sensory,Upward gap slope,-0.670836663224343,0.0775129148920257,-0.822761976412713,-0.518911350035972,4.95013278908605e-18
Adoption,Cognitive score,General SC,Upward gap slope,0.0978657826204059,0.0599678657858662,-0.0196712343198919,0.215402799560704,0.102685719433939
Adoption,Cognitive score,Specialized SC,Upward gap slope,0.251727400882165,0.0612302238897717,0.131716162058213,0.371738639706118,3.93671987111285e-05
Adoption,Cognitive score,Physical-sensory,Downward gap slope,-0.0591459342259089,0.0770838977401826,-0.210230373796667,0.0919385053448489,0.442907336523676
Adoption,Cognitive score,General SC,Downward gap slope,0.475472427579323,0.0693797471775995,0.339488123111228,0.611456732047418,7.22222384127593e-12
Adoption,Cognitive score,Specialized SC,Downward gap slope,0.640631290345223,0.0854297676911368,0.473188945670595,0.808073635019852,6.43440766374805e-14
Abandonment,Log wage,Physical-sensory,Upward gap slope,0.071450249314622,0.0550415554401409,-0.0364311993480541,0.179331697977298,0.194247941868649
Abandonment,Log wage,General SC,Upward gap slope,-0.275087727143437,0.0428115360013251,-0.358998337706034,-0.19117711658084,1.31392315923003e-10
Abandonment,Log wage,Specialized SC,Upward gap slope,-0.249409015796555,0.044957182877531,-0.337525094236516,-0.161292937356595,2.89450044710696e-08
Abandonment,Log wage,Physical-sensory,Downward gap slope,-0.0863582876378997,0.0394726960666482,-0.16372477192853,-0.00899180334726918,0.028684315712701
Abandonment,Log wage,General SC,Downward gap slope,-0.224194776109546,0.0399176479440935,-0.30243336607997,-0.145956186139123,1.9494032817913e-08
Abandonment,Log wage,Specialized SC,Downward gap slope,-0.237733079805795,0.0462185095749297,-0.328321358572657,-0.147144801038932,2.69412733465615e-07
Abandonment,Log education,Physical-sensory,Upward gap slope,0.20443804686853,0.0579841127813551,0.0907891858170745,0.318086907919986,0.000422269965143137
Abandonment,Log education,General SC,Upward gap slope,-0.258666395064608,0.0562344259152595,-0.368885869858517,-0.1484469202707,4.22922654762611e-06
Abandonment,Log education,Specialized SC,Upward gap slope,-0.311213002572415,0.0584649155917575,-0.42580423713226,-0.19662176801257,1.02028882180257e-07
Abandonment,Log education,Physical-sensory,Downward gap slope,0.00203904164554786,0.0548781186794648,-0.105522070966203,0.109600154257299,0.970360762679811
Abandonment,Log education,General SC,Downward gap slope,-0.30810932646929,0.0420749832390124,-0.390576293617755,-0.225642359320826,2.42736077737568e-13
Abandonment,Log education,Specialized SC,Downward gap slope,-0.360125249319919,0.0444192255566642,-0.447186931410981,-0.273063567228857,5.17065436376953e-16
Abandonment,Cognitive score,Physical-sensory,Upward gap slope,0.0066293749438924,0.073655661656314,-0.137735721902483,0.150994471790268,0.928283272641689
Abandonment,Cognitive score,General SC,Upward gap slope,-0.369956561097287,0.0559116362368484,-0.47954336812151,-0.260369754073064,3.67037737260452e-11
Abandonment,Cognitive score,Specialized SC,Upward gap slope,-0.528094793976085,0.0829387588397539,-0.690654761302002,-0.365534826650167,1.92402276127454e-10
Abandonment,Cognitive score,Physical-sensory,Downward gap slope,0.264350406377303,0.103037554338672,0.062396799873507,0.466304012881099,0.0103005431762344
Abandonment,Cognitive score,General SC,Downward gap slope,-0.356929920957395,0.0558337174218283,-0.466364007104179,-0.247495834810612,1.62949076601067e-10
Abandonment,Cognitive score,Specialized SC,Downward gap slope,-0.39359232843045,0.0592836404745602,-0.509788263760588,-0.277396393100312,3.15520789138495e-11
