panel,var,archetype,coef,se,p,sig
Panel A,kappa,SC_Scaffolding,-0.0359,0.0179,0.0451,*
Panel A,kappa,SC_Specialized,-0.0745,0.0311,0.0166,*
Panel A,kappa,Physical_Terminal,0.2688,0.0536,0,***
Panel A,b_up,SC_Scaffolding,-0.2433,0.0349,0,***
Panel A,b_up,SC_Specialized,-0.2579,0.0427,0,***
Panel A,b_up,Physical_Terminal,0.0946,0.0429,0.0272,*
Panel A,b_dn,SC_Scaffolding,-0.2265,0.0312,0,***
Panel A,b_dn,SC_Specialized,-0.2812,0.033,0,***
Panel A,b_dn,Physical_Terminal,-0.0058,0.0398,0.8834,ns
Panel A,delta,SC_Scaffolding,0.9468,0.1365,0,***
Panel A,delta,SC_Specialized,1.6944,0.2401,0,***
Panel A,delta,Physical_Terminal,2.0957,0.3073,0,***
Panel B,kappa,SC_Scaffolding,-0.0174,0.0162,0.2846,ns
Panel B,kappa,SC_Specialized,-0.0385,0.0278,0.1668,ns
Panel B,kappa,Physical_Terminal,0.2081,0.0463,0,***
Panel B,b_up,SC_Scaffolding,-0.094,0.0261,3e-04,***
Panel B,b_up,SC_Specialized,-0.0977,0.0336,0.0036,**
Panel B,b_up,Physical_Terminal,0.1979,0.041,0,***
Panel B,b_dn,SC_Scaffolding,-0.0464,0.0175,0.0079,**
Panel B,b_dn,SC_Specialized,-0.0998,0.0237,0,***
Panel B,b_dn,Physical_Terminal,0.167,0.0342,0,***
Panel B,delta,SC_Scaffolding,0.9991,0.1523,0,***
Panel B,delta,SC_Specialized,1.676,0.2313,0,***
Panel B,delta,Physical_Terminal,2.3133,0.3219,0,***
