flow,atc_archetype,panel,grad_obs,grad_model,grad_symmetric,grad_null,recovery_model,recovery_symmetric,advantage_vs_sym,advantage_vs_null
Adoption,SC_General,Panel A,0.178653941578771,0.137102162570807,0.00787790497021154,0.0292932264235876,0.767,0.044,17.4,4.68
Adoption,SC_Specialized,Panel A,0.217087439148599,0.18674894955582,0.0128080710160174,0.0478938183332772,0.86,0.059,14.58,3.9
Adoption,Physical_Terminal,Panel A,-0.272972497564033,-0.135155204976418,-0.0519385295595276,-0.014903851799859,0.495,0.19,2.6,9.07
Abandonment,SC_General,Panel A,-0.321686455784163,-0.273536653621875,-0.00208961587056994,-0.0356217014057875,0.85,0.006,130.9,7.68
Abandonment,SC_Specialized,Panel A,-0.340682832842289,-0.284722659436473,-0.00574132929679613,-0.046280258092197,0.836,0.017,49.59,6.15
Abandonment,Physical_Terminal,Panel A,0.224866683010249,0.12538385076278,0.0551416329121634,0.0443667419283531,0.558,0.245,2.27,2.83
Adoption,SC_General,Panel B,0.178653941578771,0.0793482155889625,0.0237927684683071,0.0337205444453977,0.444,0.133,3.33,2.35
Adoption,SC_Specialized,Panel B,0.217087439148599,0.13285064809624,0.0277671927963277,0.049599756138213,0.612,0.128,4.78,2.68
Adoption,Physical_Terminal,Panel B,-0.272972497564033,-0.151984947438685,-0.0621011563704344,-0.0193522061578764,0.557,0.227,2.45,7.85
Abandonment,SC_General,Panel B,-0.321686455784163,-0.104392309293213,-0.0264736596013511,-0.0373725899703951,0.325,0.082,3.94,2.79
Abandonment,SC_Specialized,Panel B,-0.340682832842289,-0.130327353034072,-0.0293245115831878,-0.0457422063850221,0.383,0.086,4.44,2.85
Abandonment,Physical_Terminal,Panel B,0.224866683010249,0.220726346532745,0.0976036988867185,0.0495223360745431,0.982,0.434,2.26,4.46
