flow,panel,coef,estimate,std_error,sig
adoption,Panel A,b_up_Cog,0.220076102887391,0.0328445717055446,***
adoption,Panel A,b_dn_Cog,0.170882531178026,0.0463094129198582,***
adoption,Panel A,kappa_Cog,-0.0955373379688801,0.0301551785967769,**
adoption,Panel A,delta_Cog,-1.34845947828437,0.170608797259167,***
adoption,Panel A,b_up_Phy,-0.331963938762867,0.0516365755053371,***
adoption,Panel A,b_dn_Phy,-0.0910901061675516,0.0438378827343674,*
adoption,Panel A,kappa_Phy,0.0338571950260332,0.0420129341303378,ns
adoption,Panel A,delta_Phy,-1.16495555906302,0.237889971718677,***
adoption,Panel B,b_up_Cog,0.16871494096349,0.0272555563390059,***
adoption,Panel B,b_dn_Cog,0.0447902633392549,0.0175024830744992,*
adoption,Panel B,kappa_Cog,-0.0553805719879207,0.023990348216257,*
adoption,Panel B,delta_Cog,-1.47700890075564,0.168013202918719,***
adoption,Panel B,b_up_Phy,-0.325087534182876,0.0460783017770981,***
adoption,Panel B,b_dn_Phy,-0.176506346980666,0.0355456503131285,***
adoption,Panel B,kappa_Phy,0.0496524019561798,0.0465564674562972,ns
adoption,Panel B,delta_Phy,-1.38496502067985,0.248696784839628,***
abandonment,Panel A,b_up_Cog,-0.259800595838012,0.0330782553637011,***
abandonment,Panel A,b_dn_Cog,-0.25183851666592,0.0300354578173562,***
abandonment,Panel A,kappa_Cog,-0.059190178127934,0.0209375912484308,**
abandonment,Panel A,delta_Cog,1.23968411475528,0.151382122591765,***
abandonment,Panel A,b_up_Phy,0.0996470427598545,0.047653322737052,*
abandonment,Panel A,b_dn_Phy,-0.0296797273987522,0.0427074093695394,ns
abandonment,Panel A,kappa_Phy,0.275898000913727,0.0616380657976326,***
abandonment,Panel A,delta_Phy,2.03815823811552,0.303790139042918,***
abandonment,Panel B,b_up_Cog,-0.0907490061527681,0.0214215940650375,***
abandonment,Panel B,b_dn_Cog,-0.0615968268846981,0.016889049047645,***
abandonment,Panel B,kappa_Cog,-0.0306274445997767,0.0185560061192256,~
abandonment,Panel B,delta_Cog,1.25006447425133,0.151512848561888,***
abandonment,Panel B,b_up_Phy,0.217277323171436,0.0462291909797565,***
abandonment,Panel B,b_dn_Phy,0.153203679987331,0.0358215999459215,***
abandonment,Panel B,kappa_Phy,0.218114956515373,0.0539638787735443,***
abandonment,Panel B,delta_Phy,2.25886786159615,0.318831131901447,***
