flow,panel,archetype,var,est_raw,est_fixed,est_standard,se_raw,se_fixed,se_standard,sign_match_fixed,sign_match_raw
abandonment,A,Physical_Terminal,pc1_down,0.0298599538756203,0.0175480979972539,-0.00583285418352705,0.0145522457597529,0.0430788270059885,0.0397644888483607,FALSE,FALSE
abandonment,A,Physical_Terminal,pc1_up,0.0674208012262163,0.107394514838592,0.0946396426307119,0.0174962298166701,0.0447914243569926,0.042859773883069,TRUE,TRUE
abandonment,A,SC_General,pc1_down,-0.0361279844688714,-0.215994403600424,-0.226489510711015,0.017470222780095,0.0319458034923526,0.0312497695394146,TRUE,TRUE
abandonment,A,SC_General,pc1_up,-0.0211445912108589,-0.232354657483931,-0.243284596461964,0.0146286122928336,0.0361426079130399,0.0348752364380785,TRUE,TRUE
abandonment,A,SC_Specialized,pc1_down,-0.0518550767418069,-0.257913221622309,-0.281170147677497,0.0170275001787475,0.034768690794882,0.0330411254599443,TRUE,TRUE
abandonment,A,SC_Specialized,pc1_up,0.000919266097364146,-0.25310532572367,-0.257943001809217,0.0137179797062563,0.0404779436362253,0.0426500332985076,TRUE,FALSE
abandonment,B,Physical_Terminal,pc1_down,0.0339826827850913,0.171178187801307,0.167009532451558,0.00630756297805507,0.0359190836538843,0.0341945203812276,TRUE,TRUE
abandonment,B,Physical_Terminal,pc1_up,0.0727067257203912,0.194380816042828,0.197945786330085,0.0131075432112264,0.0407790443907765,0.0410283495761516,TRUE,TRUE
abandonment,B,SC_General,pc1_down,-0.0272751872644032,-0.0540272561016677,-0.0464257309048903,0.0075399203968826,0.01857204876842,0.0174818276692326,TRUE,TRUE
abandonment,B,SC_General,pc1_up,-0.0353997298312349,-0.096189105503085,-0.0939989926364371,0.0069607186028253,0.0271116039532783,0.0260560076172808,TRUE,TRUE
abandonment,B,SC_Specialized,pc1_down,-0.0422278018876371,-0.0987087957480585,-0.0997816929130684,0.00924412069684702,0.0245526799123887,0.0237352228797203,TRUE,TRUE
abandonment,B,SC_Specialized,pc1_up,-0.0152400616770328,-0.101606969153048,-0.0976869963535142,0.00770828609393961,0.0311289325417209,0.033577984554406,TRUE,TRUE
adoption,A,Physical_Terminal,pc1_down,-0.0717232050466963,-0.0592201497004217,-0.0759946213462023,0.0203240054879093,0.0465390256860605,0.0415146516514362,TRUE,TRUE
adoption,A,Physical_Terminal,pc1_up,-0.0581591295728621,-0.295991866128134,-0.321966164029748,0.0163202940247329,0.0469801880812572,0.047947917838453,TRUE,TRUE
adoption,A,SC_General,pc1_down,-0.0519941791946785,0.0980534406558724,0.117739980481255,0.0211644472684415,0.0431271973837131,0.0453845626699889,TRUE,FALSE
adoption,A,SC_General,pc1_up,0.019004586463079,0.17927842583974,0.186734678760255,0.0159871587980966,0.0306224588884939,0.0335872296926004,TRUE,TRUE
adoption,A,SC_Specialized,pc1_down,-0.0416317287640574,0.206594540319646,0.218116075255041,0.0207353366698106,0.04923800537776,0.0507416164713505,TRUE,FALSE
adoption,A,SC_Specialized,pc1_up,0.020317933915537,0.21894000729361,0.243673791190607,0.0170694468640005,0.0410134933601643,0.0419426269644726,TRUE,TRUE
adoption,B,Physical_Terminal,pc1_down,-0.034467365137478,-0.131731752587054,-0.157258123748744,0.0109003004713273,0.0364548846767587,0.0324849340593775,TRUE,TRUE
adoption,B,Physical_Terminal,pc1_up,-0.0159613967829101,-0.282648554392444,-0.30963055922504,0.00853214511799458,0.0388396432079349,0.0414893715856012,TRUE,TRUE
adoption,B,SC_General,pc1_down,0.00122169135349661,-0.00979378818951628,-0.000963005051676884,0.00603927386451627,0.0199615681327816,0.0221282477484034,TRUE,FALSE
adoption,B,SC_General,pc1_up,0.0170353617726303,0.144275294786812,0.147154968916909,0.0101738219669036,0.0293850473332979,0.0297848457780705,TRUE,TRUE
adoption,B,SC_Specialized,pc1_down,0.0204227965492269,0.10803366195155,0.109010379059626,0.00655023458233779,0.0308504154223914,0.0316618753233136,TRUE,TRUE
adoption,B,SC_Specialized,pc1_up,0.0151879935196181,0.168330525048799,0.184361791128654,0.0125939126740694,0.0380682214240014,0.0369543320419088,TRUE,TRUE
