flow,archetype,var,estimate_standard,se_standard,estimate_fixed_denom,se_fixed_denom,estimate_delta_importance,se_delta_importance,pct_attenuation,sign_match
abandonment,Physical_Terminal,pc1_down,-0.00583285418352705,0.0397644888483607,0.0175480979972539,0.0430788270059885,-0.0105405216065921,0.0051369222301683,-200.8,FALSE
abandonment,Physical_Terminal,pc1_up,0.0946396426307119,0.042859773883069,0.107394514838592,0.0447914243569926,-0.0237994477493697,0.0061761444503607,-13.5,TRUE
abandonment,SC_General,pc1_down,-0.226489510711015,0.0312497695394146,-0.215994403600424,0.0319458034923526,0.0127531275662203,0.00616696400312722,4.6,TRUE
abandonment,SC_General,pc1_up,-0.243284596461964,0.0348752364380785,-0.232354657483931,0.0361426079130399,0.00746401087722177,0.00516387950864568,4.5,TRUE
abandonment,SC_Specialized,pc1_down,-0.281170147677497,0.0330411254599443,-0.257913221622309,0.034768690794882,0.0183047689586649,0.00601068354922296,8.3,TRUE
abandonment,SC_Specialized,pc1_up,-0.257943001809217,0.0426500332985076,-0.25310532572367,0.0404779436362253,-0.00032449963593025,0.00484242748984862,1.9,TRUE
adoption,Physical_Terminal,pc1_down,-0.0759946213462023,0.0415146516514362,-0.0592201497004217,0.0465390256860605,-0.0261320137458809,0.00740495618449818,22.1,TRUE
adoption,Physical_Terminal,pc1_up,-0.321966164029748,0.047947917838453,-0.295991866128134,0.0469801880812572,-0.0211900063927107,0.00594622266969836,8.1,TRUE
adoption,SC_General,pc1_down,0.117739980481255,0.0453845626699889,0.0980534406558724,0.0431271973837131,-0.0189438356043788,0.00771116720988676,16.7,TRUE
adoption,SC_General,pc1_up,0.186734678760255,0.0335872296926004,0.17927842583974,0.0306224588884939,0.00692423204408638,0.00582484641056315,4,TRUE
adoption,SC_Specialized,pc1_down,0.218116075255041,0.0507416164713505,0.206594540319646,0.04923800537776,-0.0151683253365548,0.00755482277359668,5.3,TRUE
adoption,SC_Specialized,pc1_up,0.243673791190607,0.0419426269644726,0.21894000729361,0.0410134933601643,0.00740274403553244,0.00621917299701242,10.2,TRUE
