estimate,se,var,archetype,flow,outcome,n,outcome_role
0.0193800617416803,0.0372614577211996,pc1_dummy,Physical_Terminal,adoption,diffusion,21546090,standard
-0.061849979834316,0.0240685039683318,pc1_dummy,SC_General,adoption,diffusion,21546090,standard
-0.0925348567152176,0.032697007293093,pc1_dummy,SC_Specialized,adoption,diffusion,21546090,standard
-0.321966164029748,0.047947917838453,pc1_up,Physical_Terminal,adoption,diffusion,21546090,standard
0.186734678760255,0.0335872296926004,pc1_up,SC_General,adoption,diffusion,21546090,standard
0.243673791190607,0.0419426269644726,pc1_up,SC_Specialized,adoption,diffusion,21546090,standard
-0.0759946213462023,0.0415146516514362,pc1_down,Physical_Terminal,adoption,diffusion,21546090,standard
0.117739980481255,0.0453845626699889,pc1_down,SC_General,adoption,diffusion,21546090,standard
0.218116075255041,0.0507416164713505,pc1_down,SC_Specialized,adoption,diffusion,21546090,standard
-1.11874550483784,0.22674796878924,structural_distance,Physical_Terminal,adoption,diffusion,21546090,standard
-0.960120450261962,0.158514464795257,structural_distance,SC_General,adoption,diffusion,21546090,standard
-1.86241818820151,0.244975509789351,structural_distance,SC_Specialized,adoption,diffusion,21546090,standard
0.0206439989729452,0.0372138107767421,pc1_dummy,Physical_Terminal,adoption,diffusion_fixed_denom,21546090,fixed_denom
-0.0576952304628903,0.0230391610422451,pc1_dummy,SC_General,adoption,diffusion_fixed_denom,21546090,fixed_denom
-0.0679197923016657,0.0327407720581568,pc1_dummy,SC_Specialized,adoption,diffusion_fixed_denom,21546090,fixed_denom
-0.295991866128134,0.0469801880812572,pc1_up,Physical_Terminal,adoption,diffusion_fixed_denom,21546090,fixed_denom
0.17927842583974,0.0306224588884939,pc1_up,SC_General,adoption,diffusion_fixed_denom,21546090,fixed_denom
0.21894000729361,0.0410134933601643,pc1_up,SC_Specialized,adoption,diffusion_fixed_denom,21546090,fixed_denom
-0.0592201497004217,0.0465390256860605,pc1_down,Physical_Terminal,adoption,diffusion_fixed_denom,21546090,fixed_denom
0.0980534406558724,0.0431271973837131,pc1_down,SC_General,adoption,diffusion_fixed_denom,21546090,fixed_denom
0.206594540319646,0.04923800537776,pc1_down,SC_Specialized,adoption,diffusion_fixed_denom,21546090,fixed_denom
-1.04900810773111,0.226719513651084,structural_distance,Physical_Terminal,adoption,diffusion_fixed_denom,21546090,fixed_denom
-0.929306830078993,0.142245429654149,structural_distance,SC_General,adoption,diffusion_fixed_denom,21546090,fixed_denom
-1.71443419893322,0.250785812174899,structural_distance,SC_Specialized,adoption,diffusion_fixed_denom,21546090,fixed_denom
-0.0223537360305525,0.00637116733862969,pc1_dummy,Physical_Terminal,adoption,delta_importance,21546090,delta_importance
-0.0030522483792665,0.00276994708686337,pc1_dummy,SC_General,adoption,delta_importance,21546090,delta_importance
-0.000184930260015562,0.004040419566847,pc1_dummy,SC_Specialized,adoption,delta_importance,21546090,delta_importance
-0.0211900063927107,0.00594622266969836,pc1_up,Physical_Terminal,adoption,delta_importance,21546090,delta_importance
0.00692423204408638,0.00582484641056315,pc1_up,SC_General,adoption,delta_importance,21546090,delta_importance
0.00740274403553244,0.00621917299701242,pc1_up,SC_Specialized,adoption,delta_importance,21546090,delta_importance
-0.0261320137458809,0.00740495618449818,pc1_down,Physical_Terminal,adoption,delta_importance,21546090,delta_importance
-0.0189438356043788,0.00771116720988676,pc1_down,SC_General,adoption,delta_importance,21546090,delta_importance
-0.0151683253365548,0.00755482277359668,pc1_down,SC_Specialized,adoption,delta_importance,21546090,delta_importance
-0.0582445848708233,0.0245646061704291,structural_distance,Physical_Terminal,adoption,delta_importance,21546090,delta_importance
-0.157452952742655,0.0301907957160777,structural_distance,SC_General,adoption,delta_importance,21546090,delta_importance
-0.199596852524269,0.0345135139210234,structural_distance,SC_Specialized,adoption,delta_importance,21546090,delta_importance
0.268849215281594,0.0535746771302717,pc1_dummy,Physical_Terminal,abandonment,abandonment,18632210,standard
-0.0359195046212184,0.0179285463123952,pc1_dummy,SC_General,abandonment,abandonment,18632210,standard
-0.0744788262533706,0.031097805187598,pc1_dummy,SC_Specialized,abandonment,abandonment,18632210,standard
0.0946396426307119,0.042859773883069,pc1_up,Physical_Terminal,abandonment,abandonment,18632210,standard
-0.243284596461964,0.0348752364380785,pc1_up,SC_General,abandonment,abandonment,18632210,standard
-0.257943001809217,0.0426500332985076,pc1_up,SC_Specialized,abandonment,abandonment,18632210,standard
-0.00583285418352705,0.0397644888483607,pc1_down,Physical_Terminal,abandonment,abandonment,18632210,standard
-0.226489510711015,0.0312497695394146,pc1_down,SC_General,abandonment,abandonment,18632210,standard
-0.281170147677497,0.0330411254599443,pc1_down,SC_Specialized,abandonment,abandonment,18632210,standard
2.09573189240437,0.307313149395889,structural_distance,Physical_Terminal,abandonment,abandonment,18632210,standard
0.946778136600378,0.136489429397963,structural_distance,SC_General,abandonment,abandonment,18632210,standard
1.69435033172249,0.240143289793745,structural_distance,SC_Specialized,abandonment,abandonment,18632210,standard
0.281869535364139,0.0533052439032165,pc1_dummy,Physical_Terminal,abandonment,abandonment_fixed_denom,18632210,fixed_denom
-0.0324418211884467,0.0187348064997637,pc1_dummy,SC_General,abandonment,abandonment_fixed_denom,18632210,fixed_denom
-0.0812485105824198,0.0293391343201089,pc1_dummy,SC_Specialized,abandonment,abandonment_fixed_denom,18632210,fixed_denom
0.107394514838592,0.0447914243569926,pc1_up,Physical_Terminal,abandonment,abandonment_fixed_denom,18632210,fixed_denom
-0.232354657483931,0.0361426079130399,pc1_up,SC_General,abandonment,abandonment_fixed_denom,18632210,fixed_denom
-0.25310532572367,0.0404779436362253,pc1_up,SC_Specialized,abandonment,abandonment_fixed_denom,18632210,fixed_denom
0.0175480979972539,0.0430788270059885,pc1_down,Physical_Terminal,abandonment,abandonment_fixed_denom,18632210,fixed_denom
-0.215994403600424,0.0319458034923526,pc1_down,SC_General,abandonment,abandonment_fixed_denom,18632210,fixed_denom
-0.257913221622309,0.034768690794882,pc1_down,SC_Specialized,abandonment,abandonment_fixed_denom,18632210,fixed_denom
2.10687903103993,0.32524262909424,structural_distance,Physical_Terminal,abandonment,abandonment_fixed_denom,18632210,fixed_denom
0.994658305251013,0.146145053187396,structural_distance,SC_General,abandonment,abandonment_fixed_denom,18632210,fixed_denom
1.72046177845922,0.24450891083688,structural_distance,SC_Specialized,abandonment,abandonment_fixed_denom,18632210,fixed_denom
-0.00196335166223386,0.00565813508443114,pc1_dummy,Physical_Terminal,abandonment,delta_importance,18632210,delta_importance
-0.000647311938476969,0.00307658032838224,pc1_dummy,SC_General,abandonment,delta_importance,18632210,delta_importance
-0.00800065561289604,0.00393850534460258,pc1_dummy,SC_Specialized,abandonment,delta_importance,18632210,delta_importance
-0.0237994477493697,0.0061761444503607,pc1_up,Physical_Terminal,abandonment,delta_importance,18632210,delta_importance
0.00746401087722177,0.00516387950864568,pc1_up,SC_General,abandonment,delta_importance,18632210,delta_importance
-0.00032449963593025,0.00484242748984862,pc1_up,SC_Specialized,abandonment,delta_importance,18632210,delta_importance
-0.0105405216065921,0.0051369222301683,pc1_down,Physical_Terminal,abandonment,delta_importance,18632210,delta_importance
0.0127531275662203,0.00616696400312722,pc1_down,SC_General,abandonment,delta_importance,18632210,delta_importance
0.0183047689586649,0.00601068354922296,pc1_down,SC_Specialized,abandonment,delta_importance,18632210,delta_importance
-0.0829582269596371,0.02269650704603,structural_distance,Physical_Terminal,abandonment,delta_importance,18632210,delta_importance
-0.0829117160336858,0.0225876101794568,structural_distance,SC_General,abandonment,delta_importance,18632210,delta_importance
-0.0740752110373281,0.0244236915186704,structural_distance,SC_Specialized,abandonment,delta_importance,18632210,delta_importance
