flow,panel,coef,p_contam,mean_est,sd_est,q05,q95,n_reps,sign_pres,base_est,pct_attenuation
abandonment,Panel A,b_dn_Physical_Terminal,0.1,-0.0448653449489812,0.0173451471212684,-0.0724620128741293,-0.0162852533776544,200,0.995,,
abandonment,Panel A,b_dn_SC_Scaffolding,0.1,-0.213405827611853,0.0068410675151727,-0.224164489256812,-0.201334942682318,200,1,,
abandonment,Panel A,b_dn_SC_Specialized,0.1,-0.260638690483659,0.00978689949495831,-0.275696033416462,-0.245112386282004,200,1,,
abandonment,Panel A,b_up_Physical_Terminal,0.1,0.063258247903386,0.0186598345243813,0.0329290831875892,0.0934040148962035,200,1,,
abandonment,Panel A,b_up_SC_Scaffolding,0.1,-0.240764381498904,0.0108984971794448,-0.260211317709215,-0.222228736716096,200,1,,
abandonment,Panel A,b_up_SC_Specialized,0.1,-0.249218295657531,0.0159240784459109,-0.275214221532242,-0.2234705348082,200,1,,
abandonment,Panel A,b_dn_Physical_Terminal,0.2,-0.0711894216154044,0.0184164131775585,-0.0988796135782506,-0.0360007051689766,200,1,,
abandonment,Panel A,b_dn_SC_Scaffolding,0.2,-0.201820857710717,0.00984712257836301,-0.218053775025134,-0.186221320394083,200,1,,
abandonment,Panel A,b_dn_SC_Specialized,0.2,-0.245116737555507,0.0127913965057076,-0.267587365256293,-0.223667689005394,200,1,,
abandonment,Panel A,b_up_Physical_Terminal,0.2,0.032433650349579,0.021091318309462,-0.0012423254779252,0.067960054630808,200,0.935,,
abandonment,Panel A,b_up_SC_Scaffolding,0.2,-0.237597696557535,0.0144711270581292,-0.262130641109776,-0.214248184250223,200,1,,
abandonment,Panel A,b_up_SC_Specialized,0.2,-0.233217574657706,0.020615177597456,-0.264830846525492,-0.200084445930695,200,1,,
abandonment,Panel B,b_dn_Physical_Terminal,0.1,0.108560899497922,0.0207866706836274,0.0744500226291848,0.142752513138137,200,1,,
abandonment,Panel B,b_dn_SC_Scaffolding,0.1,-0.0513987277975468,0.00597786094693176,-0.0615612067189479,-0.0411188348297744,200,1,,
abandonment,Panel B,b_dn_SC_Specialized,0.1,-0.0976792433405963,0.00931567665431707,-0.111470757631732,-0.0801703677375558,200,1,,
abandonment,Panel B,b_up_Physical_Terminal,0.1,0.179721736637183,0.0155182428723003,0.156435964462667,0.203327112229479,200,1,,
abandonment,Panel B,b_up_SC_Scaffolding,0.1,-0.0852374938644787,0.0116244365233452,-0.106474769644153,-0.066729707872537,200,1,,
abandonment,Panel B,b_up_SC_Specialized,0.1,-0.0842649673125401,0.0176484118895805,-0.112877149816061,-0.0541174793743113,200,1,,
abandonment,Panel B,b_dn_Physical_Terminal,0.2,0.0694252836723791,0.0222827503276234,0.0342767159805268,0.105691540627047,200,1,,
abandonment,Panel B,b_dn_SC_Scaffolding,0.2,-0.0565205558881956,0.00854930179713641,-0.0721423988802251,-0.0433783274947213,200,1,,
abandonment,Panel B,b_dn_SC_Specialized,0.2,-0.0988794033517859,0.012390884618924,-0.118663846322798,-0.0778301381396088,200,1,,
abandonment,Panel B,b_up_Physical_Terminal,0.2,0.159882175236037,0.0176087360268043,0.131987192580219,0.188468721815259,200,1,,
abandonment,Panel B,b_up_SC_Scaffolding,0.2,-0.0775718353853392,0.0143385101576545,-0.10285899006602,-0.0554059790295938,200,1,,
abandonment,Panel B,b_up_SC_Specialized,0.2,-0.064699934986858,0.0223007942082819,-0.102046068724318,-0.025984654446233,200,1,,
adoption,Panel A,b_dn_Physical_Terminal,0.1,-0.0314263475736143,0.0280569167006232,-0.0790757171886886,0.0160575748609368,200,0.87,,
adoption,Panel A,b_dn_SC_Scaffolding,0.1,0.11536582610138,0.00992188466915291,0.0986023171382817,0.132644010090604,200,1,,
adoption,Panel A,b_dn_SC_Specialized,0.1,0.207403491391561,0.0116490616297103,0.186531869546288,0.225005859008077,200,1,,
adoption,Panel A,b_up_Physical_Terminal,0.1,-0.300183381057091,0.0156437003443231,-0.32523893927025,-0.274887483701158,200,1,,
adoption,Panel A,b_up_SC_Scaffolding,0.1,0.167206394682018,0.0222277571615457,0.128902126063806,0.201400939973946,200,1,,
adoption,Panel A,b_up_SC_Specialized,0.1,0.213952414168079,0.0355680149547138,0.153471199417686,0.263307725899249,200,1,,
adoption,Panel A,b_dn_Physical_Terminal,0.2,0.00599088670201602,0.0273942104413472,-0.0404616745570749,0.0503862441699182,200,0.585,,
adoption,Panel A,b_dn_SC_Scaffolding,0.2,0.115466470513134,0.0132446428284677,0.0946970074080897,0.136848273384894,200,1,,
adoption,Panel A,b_dn_SC_Specialized,0.2,0.196847363904941,0.015826658140332,0.170422759756482,0.221520987145993,200,1,,
adoption,Panel A,b_up_Physical_Terminal,0.2,-0.279551160451322,0.0214988482926759,-0.31308877246993,-0.245746390011629,200,1,,
adoption,Panel A,b_up_SC_Scaffolding,0.2,0.139164706551533,0.0322001961704542,0.0832810035537431,0.183456189559162,200,1,,
adoption,Panel A,b_up_SC_Specialized,0.2,0.172202568780589,0.0468150731709634,0.0882904517301459,0.245674144875297,200,1,,
adoption,Panel B,b_dn_Physical_Terminal,0.1,-0.122612336083503,0.0262802358142401,-0.164940279988541,-0.077179858574014,200,1,,
adoption,Panel B,b_dn_SC_Scaffolding,0.1,-0.00390781987653986,0.00966352220992226,-0.0207165933798969,0.0114282033673959,200,0.665,,
adoption,Panel B,b_dn_SC_Specialized,0.1,0.0977724693325211,0.0117356765272987,0.0784475079758943,0.11573356145173,200,1,,
adoption,Panel B,b_up_Physical_Terminal,0.1,-0.29071601639258,0.0158442151624103,-0.315580802870604,-0.264287853965556,200,1,,
adoption,Panel B,b_up_SC_Scaffolding,0.1,0.127393740395034,0.0208112963156796,0.0931684822723325,0.157866445591875,200,1,,
adoption,Panel B,b_up_SC_Specialized,0.1,0.157772554344541,0.0321827379405105,0.103072497097153,0.202958036438625,200,1,,
adoption,Panel B,b_dn_Physical_Terminal,0.2,-0.0883478972072837,0.0260825648873806,-0.130855403823592,-0.0456034128825423,200,1,,
adoption,Panel B,b_dn_SC_Scaffolding,0.2,0.000921864147770178,0.0131203985715638,-0.0213212425306612,0.0227153065406036,200,0.54,,
adoption,Panel B,b_dn_SC_Specialized,0.2,0.0911321685773688,0.0160201231952217,0.0626357729458295,0.116859755119656,200,1,,
adoption,Panel B,b_up_Physical_Terminal,0.2,-0.270758668889127,0.0217785165273043,-0.304163646616299,-0.234275938735237,200,1,,
adoption,Panel B,b_up_SC_Scaffolding,0.2,0.102142254836937,0.0295633369154661,0.0470607977063699,0.143159430360718,200,1,,
adoption,Panel B,b_up_SC_Specialized,0.2,0.122363054746237,0.0433905650905794,0.0452136148722316,0.193489048626473,200,1,,
