outcome,skill_class,term,estimate,se,n
abandonment,Physical_Terminal,delta_up,0.208787435359896,0.0498606463814799,7491160
abandonment,Physical_Terminal,delta_down,0.344399938836083,0.0677833595525831,7491160
abandonment,Physical_Terminal,boundary,0.19263226788916,0.0450644111456897,7491160
abandonment,Physical_Terminal,structural_distance,1.93484407737946,0.256138347404989,7491160
abandonment,SC_General,delta_up,-0.318648791135123,0.0405468556966672,5651770
abandonment,SC_General,delta_down,-0.285298872771431,0.0377188532842755,5651770
abandonment,SC_General,boundary,-0.0318490366410917,0.0152906992029811,5651770
abandonment,SC_General,structural_distance,0.730715504686643,0.119568337568545,5651770
abandonment,SC_Specialized,delta_up,-0.356626668657937,0.0540097077902085,5489280
abandonment,SC_Specialized,delta_down,-0.360477938454555,0.0442017396493723,5489280
abandonment,SC_Specialized,boundary,-0.0593414105530527,0.0300380837910207,5489280
abandonment,SC_Specialized,structural_distance,1.40054928777818,0.229815681708487,5489280
abandonment_fixed_denom,Physical_Terminal,delta_up,0.220797510662328,0.0514128165840638,7491160
abandonment_fixed_denom,Physical_Terminal,delta_down,0.378367994143064,0.0717877965860564,7491160
abandonment_fixed_denom,Physical_Terminal,boundary,0.20305492445801,0.0447099662637721,7491160
abandonment_fixed_denom,Physical_Terminal,structural_distance,1.96829561655525,0.26128501427857,7491160
abandonment_fixed_denom,SC_General,delta_up,-0.312046709632219,0.0420718182089211,5651770
abandonment_fixed_denom,SC_General,delta_down,-0.279683980502396,0.038322468206075,5651770
abandonment_fixed_denom,SC_General,boundary,-0.0268766287915614,0.0161339890974636,5651770
abandonment_fixed_denom,SC_General,structural_distance,0.752676329051475,0.127933241317966,5651770
abandonment_fixed_denom,SC_Specialized,delta_up,-0.354019514166912,0.0507020294764009,5489280
abandonment_fixed_denom,SC_Specialized,delta_down,-0.331328217210092,0.0467663088312694,5489280
abandonment_fixed_denom,SC_Specialized,boundary,-0.0630835248104382,0.0280643915300161,5489280
abandonment_fixed_denom,SC_Specialized,structural_distance,1.43322099872197,0.247506524766959,5489280
delta_importance,Physical_Terminal,delta_up,-0.0287265540187531,0.00668059031104844,7491160
delta_importance,Physical_Terminal,delta_down,-0.0292859717499634,0.0070120931174547,7491160
delta_importance,Physical_Terminal,boundary,0.00213061511486047,0.00547719492930058,7491160
delta_importance,Physical_Terminal,structural_distance,-0.0722402755497773,0.0227985127945793,7491160
delta_importance,SC_General,delta_up,0.0159777992264629,0.0061503230521158,5651770
delta_importance,SC_General,delta_down,0.020234662241715,0.00702887754801117,5651770
delta_importance,SC_General,boundary,-0.00238401902707013,0.00292577828232215,5651770
delta_importance,SC_General,structural_distance,-0.0471813773857619,0.0230580786890542,5651770
delta_importance,SC_Specialized,delta_up,0.00302994371573797,0.00582555451423832,5489280
delta_importance,SC_Specialized,delta_down,0.0192466580631923,0.00688008784029045,5489280
delta_importance,SC_Specialized,boundary,-0.00931322849614202,0.00393118574387493,5489280
delta_importance,SC_Specialized,structural_distance,-0.0721639623101699,0.027506409846472,5489280
