period,panel,archetype,direction,estimate,std.error,conf.low,conf.high,p.value
2015-2018,Panel_A,SC_Specialized,beta_up,0.0958033635817951,0.123133079118475,-0.145533036795938,0.337139763959528,0.436541110710429
2015-2018,Panel_A,SC_Scaffolding,beta_up,0.419773583950137,0.146577105021703,0.132487737149453,0.707059430750821,0.004185374949683
2015-2018,Panel_A,Physical_Terminal,beta_up,-1.12148516644194,0.15696660096699,-1.42913405111291,-0.813836281770966,9.01680055941042e-13
2015-2018,Panel_A,SC_Specialized,beta_down,0.143400990576134,0.126106611931045,-0.103763427021084,0.390565408173352,0.255479373862265
2015-2018,Panel_A,SC_Scaffolding,beta_down,0.475893906662231,0.160100136184473,0.162103405820707,0.789684407503755,0.00295407738040381
2015-2018,Panel_A,Physical_Terminal,beta_down,-0.0394698824314747,0.126522290334692,-0.287449014728991,0.208509249866041,0.755070990361729
2015-2018,Panel_B,SC_Specialized,beta_up,0.0853058106595506,0.0624034280558526,-0.0370026608417567,0.207614282160858,0.171623675562125
2015-2018,Panel_B,SC_Scaffolding,beta_up,0.357977205575663,0.0769698583214335,0.207119055370503,0.508835355780823,3.30529305066915e-06
2015-2018,Panel_B,Physical_Terminal,beta_up,-0.99640081798156,0.120333179117982,-1.23224951519801,-0.760552120765108,1.22813964678736e-16
2015-2018,Panel_B,SC_Specialized,beta_down,0.0847676826745368,0.0507205070845233,-0.0146426844887375,0.184178049837811,0.0946682782869802
2015-2018,Panel_B,SC_Scaffolding,beta_down,0.427083881023521,0.0871922760654336,0.256190160205197,0.597977601841844,9.67260461709447e-07
2015-2018,Panel_B,Physical_Terminal,beta_down,0.0872170414121359,0.066140934221414,-0.0424168075656684,0.21685089038994,0.187284640210755
2019-2021,Panel_A,SC_Specialized,beta_up,0.123482922995477,0.199800897621617,-0.268119640421667,0.51508548641262,0.536555648286102
2019-2021,Panel_A,SC_Scaffolding,beta_up,0.384027039866557,0.224880587738048,-0.0567308129222161,0.82478489265533,0.0876932933346947
2019-2021,Panel_A,Physical_Terminal,beta_up,-0.72084089936031,0.269559032652323,-1.24916689506632,-0.1925149036543,0.0074919254658269
2019-2021,Panel_A,SC_Specialized,beta_down,0.882515760111588,0.203232302594711,0.484187766530808,1.28084375369237,1.40935241365749e-05
2019-2021,Panel_A,SC_Scaffolding,beta_down,1.34189976275019,0.24590379178378,0.85993718719215,1.82386233830824,4.84215636041223e-08
2019-2021,Panel_A,Physical_Terminal,beta_down,0.507415516650399,0.301427699592683,-0.0833719184940187,1.09820295179482,0.0923027361470442
2019-2021,Panel_B,SC_Specialized,beta_up,0.0833996373536433,0.0707295109025331,-0.0552276566594547,0.222026931366741,0.23834444894361
2019-2021,Panel_B,SC_Scaffolding,beta_up,0.229941521372129,0.10687689271537,0.0204666608704517,0.439416381873806,0.0314397904159333
2019-2021,Panel_B,Physical_Terminal,beta_up,-0.653130185407739,0.214668448664207,-1.07387261340667,-0.232387757408807,0.00234616623120996
2019-2021,Panel_B,SC_Specialized,beta_down,0.0987041442145532,0.0863081064906159,-0.0704566360809017,0.267864924510008,0.252779016450205
2019-2021,Panel_B,SC_Scaffolding,beta_down,0.511808113224311,0.130000113877011,0.257012572039263,0.766603654409359,8.2512780654665e-05
2019-2021,Panel_B,Physical_Terminal,beta_down,-0.0809349362430338,0.131282254362754,-0.338243426603258,0.17637355411719,0.537567454554146
2022-2024,Panel_A,SC_Specialized,beta_up,0.538323267586996,0.254725843212495,0.0390697889589097,1.03757674621508,0.0345713570582308
2022-2024,Panel_A,SC_Scaffolding,beta_up,0.725740786197946,0.21779108482732,0.298878103782491,1.1526034686134,0.000861376722585964
2022-2024,Panel_A,Physical_Terminal,beta_up,-0.245737746324459,0.234705419496541,-0.705751915514044,0.214276422865126,0.295097274914977
2022-2024,Panel_A,SC_Specialized,beta_down,0.21434737996609,0.25970944532235,-0.294673779310591,0.723368539242771,0.409181240819993
2022-2024,Panel_A,SC_Scaffolding,beta_down,0.419198765666273,0.317482396922641,-0.203055298027554,1.0414528293601,0.186706749820052
2022-2024,Panel_A,Physical_Terminal,beta_down,0.0400550207760474,0.254450578250735,-0.458658948440784,0.538768989992879,0.874915677218748
2022-2024,Panel_B,SC_Specialized,beta_up,0.0215225188941471,0.102661960639266,-0.179691226541083,0.222736264329377,0.833945118850373
2022-2024,Panel_B,SC_Scaffolding,beta_up,0.248543777411698,0.113211767935291,0.0266527896324213,0.470434765190974,0.0281357641128335
2022-2024,Panel_B,Physical_Terminal,beta_up,-0.812925728360378,0.183388604337011,-1.17236078803598,-0.453490668684771,9.30154416613926e-06
2022-2024,Panel_B,SC_Specialized,beta_down,0.144654103857853,0.0692917153396152,0.00884483736520561,0.2804633703505,0.0368329953373322
2022-2024,Panel_B,SC_Scaffolding,beta_down,0.40026393946358,0.13016747886289,0.145140368933937,0.655387509993223,0.00210508290639191
2022-2024,Panel_B,Physical_Terminal,beta_down,0.0978165667453309,0.102367641075085,-0.102820322944158,0.29845345643482,0.339303744210691
