flow,panel,coef,est_42,est_123,est_999,mean_est,sd_est,cv,stable
adoption,Panel A,b_up_SC_General,0.191578818526157,0.188099620235014,0.188195494283888,0.18929131101502,0.00198161951909134,0.0104686237760491,TRUE
adoption,Panel A,b_dn_SC_General,0.118851007127018,0.122565352653051,0.118506796937545,0.119974385572538,0.00225043395212141,0.0187576201485172,TRUE
adoption,Panel A,b_up_SC_Specialized,0.259667700917412,0.253540060686138,0.239930053134959,0.25104593824617,0.0101024338678958,0.0402413754967409,TRUE
adoption,Panel A,b_dn_SC_Specialized,0.218902124987724,0.22139143462717,0.219078562273582,0.219790707296158,0.00138907469926764,0.00631998830321759,TRUE
adoption,Panel A,b_up_Physical_Terminal,-0.322414350231693,-0.32448611421479,-0.32471906171478,-0.323873175387088,0.00126873726986598,0.00391738917046651,TRUE
adoption,Panel A,b_dn_Physical_Terminal,-0.0875865935796775,-0.078324713749642,-0.076444254527414,-0.0807851872855778,0.00596476130324422,0.0738348390795781,TRUE
adoption,Panel B,b_up_SC_General,0.14935786201763,0.150468290529173,0.15268029498657,0.150835482511124,0.00169137892619665,0.0112134021653155,TRUE
adoption,Panel B,b_dn_SC_General,-0.00657225893088136,-0.00200338688296703,0.00117595654897257,-0.00246656308829194,0.00389481834344638,1.57904671562384,TRUE
adoption,Panel B,b_up_SC_Specialized,0.196387724008477,0.194894460563762,0.184576675379585,0.191952953317275,0.00643152906308961,0.0335057572803221,TRUE
adoption,Panel B,b_dn_SC_Specialized,0.103689011820229,0.107625829738258,0.111343188355955,0.107552676638147,0.00382761259038273,0.0355882597256081,TRUE
adoption,Panel B,b_up_Physical_Terminal,-0.31257495188572,-0.313485529893278,-0.309305872389667,-0.311788784722888,0.0021979372870506,0.00704944306769753,TRUE
adoption,Panel B,b_dn_Physical_Terminal,-0.172379884441401,-0.161066631793572,-0.1532686188102,-0.162238378348391,0.00960936319420403,0.0592299016547667,TRUE
abandonment,Panel A,b_up_SC_General,-0.244425179531659,-0.240234345457826,-0.246223476793189,-0.243627667260891,0.0030731812352308,0.0126142538316055,TRUE
abandonment,Panel A,b_dn_SC_General,-0.226188399623528,-0.230232272654882,-0.229317964905918,-0.228579545728109,0.00212065424693517,0.00927753286139454,TRUE
abandonment,Panel A,b_up_SC_Specialized,-0.263074718668267,-0.260530068973446,-0.255850630501045,-0.259818472714253,0.00366423790016769,0.014103069200155,TRUE
abandonment,Panel A,b_dn_SC_Specialized,-0.28160195410417,-0.284100213872975,-0.284551578498388,-0.283417915491844,0.00158877919403904,0.00560578251124974,TRUE
abandonment,Panel A,b_up_Physical_Terminal,0.097925794910826,0.101950775125221,0.0871402508583801,0.0956722736314757,0.00765811177001445,0.0800452574119131,TRUE
abandonment,Panel A,b_dn_Physical_Terminal,-0.00943361581349367,-0.0027738729273401,-0.00657356319673658,-0.00626035064585678,0.00334090113651088,0.533660385097112,TRUE
abandonment,Panel B,b_up_SC_General,-0.0946180412077982,-0.0906683594831874,-0.0909141386231774,-0.0920668464380543,0.00221281447737717,0.0240348677399961,TRUE
abandonment,Panel B,b_dn_SC_General,-0.0436772111927408,-0.0485917764627969,-0.0457071003984192,-0.045992029351319,0.00246964093130169,0.0536971507048942,TRUE
abandonment,Panel B,b_up_SC_Specialized,-0.102748701192411,-0.0981406099300697,-0.0889415569326599,-0.0966102893517136,0.00702963149509277,0.0727627620439178,TRUE
abandonment,Panel B,b_dn_SC_Specialized,-0.0975076816556134,-0.100701637943031,-0.0992102221730801,-0.0991398472572416,0.00159814068938516,0.0161200640670588,TRUE
abandonment,Panel B,b_up_Physical_Terminal,0.201868957756466,0.203527552690981,0.195412646294236,0.200269718913895,0.00428731852253561,0.0214077222746736,TRUE
abandonment,Panel B,b_dn_Physical_Terminal,0.15845075575616,0.166758389311789,0.169620103087831,0.164943082718594,0.00580173107566605,0.0351741399520481,TRUE
